ID,Title,Author,Year,Format,File
1,Kiti dan Balon Udara,Dewi Cholidatul Feelish,2022,PDF,ebook/Kiti dan Balon Udara.pdf
2,Batik Tambal Anom,Dewi Nastiti & Robby Hardian,2020,PDF,ebook/Batik Tambal Anom.pdf
3,Siapa Dia?,Tuti Adhayati & Maman Sulaeman,2022,PDF,ebook/Siapa Dia.pdf
4,Bicara Itu Ada Seninya: Rahasia Komunikasi Yang Efektif,Oh Su Hyang,2018,PDF,ebook/Bicara itu ada seninya.pdf
5,10 Step To A More Fulfilling Life,Dale Carnegie,2015,PDF,ebook/10 Step To A More Fulfilling Life.pdf
6,Ilmu Bisnis Tionghoa,Thomas Liem Tjoe,2012,PDF,ebook/Ilmu Bisnia Tionghoa.pdf
7,Nunchi Seni Membaca Pikiran dan Perasaan Orang Lain,Euny Hong,2020,PDF,ebook/Nunchi Seni Membaca Pikiran.pdf
8,Mindset,Dr Carol S. Dweck,2017,PDF,ebook/Mindset Update edition.pdf
9,Baca Buku Ini Saat Engkau Ingin Berubah,Rahma Kusharjanti,2020,PDF,ebook/Saat Engkau Ingin Berubah.pdf
10,The 7 Habits Of Highly Effective People, Stephen R.Covey,1989,PDF,ebook/The 7 habits of highly effective people.pdf
11,Resume,Nurus Shobihah,2025,PDF,ebook/Resume VR.pdf
12,halaman1,Nurus Shobihah,2025,html,webti/halaman1.html
13,halaman5,Nurus Shobihah,2025,html,webti/halaman5.html
